date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,decade,k_factor,home_elo_before,away_elo_before
1990-04-03,Bermuda,Iceland,0.0,4.0,Friendly,Hamilton,Bermuda,False,1990,20,1487.3516106679601,1511.8493246116866
1990-04-03,Switzerland,Romania,2.0,1.0,Friendly,Lucerne,Switzerland,False,1990,20,1488.2021330030025,1519.2874825199578
1990-04-04,Czechoslovakia,Egypt,0.0,1.0,Friendly,Brno,Czechoslovakia,False,1990,20,1491.8493246116866,1418.7232223234248
1990-04-08,United States,Iceland,4.0,1.0,Friendly,St. Louis,United States,False,1990,20,1457.787651329144,1532.7752570749183
1990-04-11,Algeria,Sweden,1.0,1.0,Friendly,Algiers,Algeria,False,1990,20,1625.0183250943917,1511.0914002481213
1990-04-11,Austria,Hungary,3.0,0.0,Friendly,Salzburg,Austria,False,1990,20,1513.8571941857551,1494.5294639808114
1990-04-11,Denmark,Turkey,1.0,0.0,Friendly,Copenhagen,Denmark,False,1990,20,1503.6494307456312,1500.0
1990-04-11,German DR,Egypt,2.0,0.0,Friendly,Karl-Marx-Stadt,German DR,False,1990,20,1502.4188035457341,1432.501805428035
1990-04-14,Bermuda,Antigua and Barbuda,2.0,2.0,CFU Caribbean Cup qualification,Hamilton,Bermuda,False,1990,30,1466.4256782047285,1487.77398691753
1990-04-15,Barbados,Saint Lucia,1.0,0.0,CFU Caribbean Cup qualification,Bridgetown,Barbados,False,1990,30,1503.0325050236377,1500.0
1990-04-16,Bermuda,Antigua and Barbuda,3.0,0.0,Friendly,Hamilton,Bermuda,False,1990,20,1464.5509372990196,1489.648727823239
1990-04-17,Mexico,Colombia,2.0,0.0,Friendly,Los Angeles,United States,True,1990,20,1525.8690272702001,1480.9583190309904
1990-04-17,Grenada,Curaçao,1.0,1.0,CFU Caribbean Cup qualification,St. George's,Grenada,False,1990,30,1500.0,1500.0
1990-04-22,Saint Vincent and the Grenadines,Dominica,2.0,1.0,CFU Caribbean Cup qualification,Kingstown,Saint Vincent and the Grenadines,False,1990,30,1500.0,1500.0
1990-04-22,United States,Colombia,0.0,1.0,Friendly,Miami,United States,False,1990,20,1475.7905790044038,1467.8865425314384
1990-04-22,Martinique,French Guiana,4.0,0.0,CFU Caribbean Cup qualification,Fort-de-France,Martinique,False,1990,30,1500.0,1500.0
1990-04-25,England,Czechoslovakia,4.0,2.0,Friendly,London,England,False,1990,20,1508.1506753883134,1478.0707415070765
1990-04-25,Germany,Uruguay,3.0,3.0,Friendly,Stuttgart,Germany,False,1990,20,1492.6347781923057,1534.4004257925417
