captured_at,match_id,commence_time,home,away,bookmaker,team,odds
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,codere_it,Draw,3.15
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,winamax_de,Czech Republic,2.8
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,winamax_de,South Korea,2.6
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,winamax_de,Draw,3.1
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,tipico_de,Czech Republic,2.9
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,tipico_de,South Korea,2.65
2026-06-09T21:04:29.896388+00:00,384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czech Republic,tipico_de,Draw,3.0
2026-06-09T21:04:29.896388+00:00,d1f4f946c70a0b4e81f5d43e9d32361c,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,unibet_nl,Bosnia & Herzegovina,4.75
2026-06-09T21:04:29.896388+00:00,d1f4f946c70a0b4e81f5d43e9d32361c,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,unibet_nl,Canada,1.83
2026-06-09T21:04:29.896388+00:00,d1f4f946c70a0b4e81f5d43e9d32361c,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,unibet_nl,Draw,3.7
2026-06-09T21:04:29.896388+00:00,d1f4f946c70a0b4e81f5d43e9d32361c,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,unibet_se,Bosnia & Herzegovina,4.75
2026-06-09T21:04:29.896388+00:00,d1f4f946c70a0b4e81f5d43e9d32361c,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,unibet_se,Canada,1.83
2026-06-09T21:04:29.896388+00:00,d1f4f946c70a0b4e81f5d43e9d32361c,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,unibet_se,Draw,3.7
2026-06-09T21:04:29.896388+00:00,d1f4f946c70a0b4e81f5d43e9d32361c,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,leovegas_se,Bosnia & Herzegovina,4.6
2026-06-09T21:04:29.896388+00:00,d1f4f946c70a0b4e81f5d43e9d32361c,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,leovegas_se,Canada,1.81
2026-06-09T21:04:29.896388+00:00,d1f4f946c70a0b4e81f5d43e9d32361c,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,leovegas_se,Draw,3.6
2026-06-09T21:04:29.896388+00:00,d1f4f946c70a0b4e81f5d43e9d32361c,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,coolbet,Bosnia & Herzegovina,4.65
2026-06-09T21:04:29.896388+00:00,d1f4f946c70a0b4e81f5d43e9d32361c,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,coolbet,Canada,1.85
2026-06-09T21:04:29.896388+00:00,d1f4f946c70a0b4e81f5d43e9d32361c,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,coolbet,Draw,3.75
2026-06-09T21:04:29.896388+00:00,d1f4f946c70a0b4e81f5d43e9d32361c,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,marathonbet,Bosnia & Herzegovina,4.6
2026-06-09T21:04:29.896388+00:00,d1f4f946c70a0b4e81f5d43e9d32361c,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,marathonbet,Canada,1.84
2026-06-09T21:04:29.896388+00:00,d1f4f946c70a0b4e81f5d43e9d32361c,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,marathonbet,Draw,3.7
2026-06-09T21:04:29.896388+00:00,d1f4f946c70a0b4e81f5d43e9d32361c,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,betfair_ex_eu,Bosnia & Herzegovina,4.9
2026-06-09T21:04:29.896388+00:00,d1f4f946c70a0b4e81f5d43e9d32361c,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,betfair_ex_eu,Canada,1.88
